,filename,shot_id,begin,end,transcript
28,5531550228324592939.xml,29,89.21,90.18,
29,5531550228324592939.xml,30,90.19,92.13,Hi. I've not got an appointment. 
30,5531550228324592939.xml,31,92.14,93.14,"No, it's all right, no worries. "
31,5531550228324592939.xml,32,93.15,94.14,
32,5531550228324592939.xml,33,94.15,94.21,
33,5531550228324592939.xml,34,94.22,96.21,"I'll be with you in a minute.  Just take a seat. Look, come out tonight, it'll be a laugh."
34,5531550228324592939.xml,35,96.22,97.2,
35,5531550228324592939.xml,36,97.21,99.14,"How about you, Janice?  R&R's tonight?"
36,5531550228324592939.xml,37,99.15,101.18,
37,5531550228324592939.xml,38,101.19,106.01,Happy Monday.  It'll be Miserable Monday if she shows her face.
38,5531550228324592939.xml,39,106.02,116.2,"Oh, Kat, I didn't see you there  underneath all that make-up. I'm not sensing a lot  of sisterly love in the room. Look, I'll see you tonight, yeah? "
39,5531550228324592939.xml,40,116.21,121.0,"Not if she's going.  Oh, don't worry about me. I'm having a nice night in with my husband. Ryan, you know, the one that's  married to me,"
40,5531550228324592939.xml,41,121.01,123.21,"not Stacey.  You know, Kim, you should watch who you let in here."
41,5531550228324592939.xml,42,123.22,126.0,She stays anywhere longer  than three minutes
42,5531550228324592939.xml,43,126.01,127.21,
43,5531550228324592939.xml,44,127.22,136.08,and the council have to send in pest  control to fumigate the place. He'd be a grown-up now.  Probably have his own family. 
44,5531550228324592939.xml,45,136.09,137.02,
45,5531550228324592939.xml,46,137.03,138.15,
46,5531550228324592939.xml,47,138.16,139.08,
47,5531550228324592939.xml,48,139.09,149.0,"I mean...  healthy, no problems?  Yeah. He was perfect.  So why didn't you tell me  that I was the father?"
48,5531550228324592939.xml,49,149.01,151.02,Because I was frightened  of what they might do to you.
49,5531550228324592939.xml,50,151.03,154.01,
50,5531550228324592939.xml,51,154.02,155.08,Shut up. 
51,5531550228324592939.xml,52,155.09,158.17,Do you want to...? 
52,5531550228324592939.xml,53,158.18,177.24,"Mason said that you'd gone to stay  with some distant aunt or something. He lied.  They sent me to a home up north.  Somewhere nicer to have the baby  they said. Really nice place(!) All the other  kids called me the cockney tart, and a week after he was born  they took him away."
53,5531550228324592939.xml,54,178.0,180.21,"So not only did he muck up  our lives,"
54,5531550228324592939.xml,55,180.22,181.23,
55,5531550228324592939.xml,56,181.24,183.04,"but Mason,  he ruined our kid's as well."
56,5531550228324592939.xml,57,183.05,184.13,
57,5531550228324592939.xml,58,184.14,185.16,
58,5531550228324592939.xml,59,185.17,186.12,
59,5531550228324592939.xml,60,186.13,189.15,
60,5531550228324592939.xml,61,189.16,198.17,Hey.  What?  Just saying hello. All right?
61,5531550228324592939.xml,62,198.18,199.22,
62,5531550228324592939.xml,63,199.23,204.06,"How much are these?  Fiver. What, end of the day?  I'll give you Â£3.49."
63,5531550228324592939.xml,64,204.07,206.07,
64,5531550228324592939.xml,65,206.08,207.23,Go on then. 
65,5531550228324592939.xml,66,207.24,208.01,
66,5531550228324592939.xml,67,208.02,210.11,
67,5531550228324592939.xml,68,210.12,213.0,
68,5531550228324592939.xml,69,213.01,216.02,Thanks. 
69,5531550228324592939.xml,70,216.03,216.2,
70,5531550228324592939.xml,71,216.21,217.06,"Jean, you fancy a night out  tonight? You, me and Stace?"
71,5531550228324592939.xml,72,217.07,219.17,
72,5531550228324592939.xml,73,219.18,220.23,"Oh, Charlie's doing his curry. "
73,5531550228324592939.xml,74,220.24,222.12,"It's all right, that'll freeze.  That's if it ain't taken the bottoms off the pans."
74,5531550228324592939.xml,75,222.13,224.08,
75,5531550228324592939.xml,76,224.09,225.18,
76,5531550228324592939.xml,77,225.19,227.18,"Come on, when's the last time  you went crazy on a Monday night?"
77,5531550228324592939.xml,78,227.19,232.03,"Yeah, scrub that. Look, let's just  go home, put on a bit of lippy and see the bright lights of Walford."
78,5531550228324592939.xml,79,232.04,235.15,
79,5531550228324592939.xml,80,235.16,237.01,I didn't know Walford  had any bright lights.
80,5531550228324592939.xml,81,237.02,240.12,"That's cos you ain't seen it  through my eyes, sweetheart. Kat, I'm closing up."
81,5531550228324592939.xml,82,240.13,243.05,Nan's gone to bingo.  I need to get back for Lily.
82,5531550228324592939.xml,83,243.06,244.2,
83,5531550228324592939.xml,84,244.21,246.13,What? 
84,5531550228324592939.xml,85,246.14,248.1,Kat wants us to go out.  But Uncle Charlie's making his curry tonight.
85,5531550228324592939.xml,86,248.11,251.08,He gets a cookery book out once  a leap year and we're all meant to line up like a load of Oliver Twists?
86,5531550228324592939.xml,87,251.09,253.17,
87,5531550228324592939.xml,88,253.18,255.04,
88,5531550228324592939.xml,89,255.05,256.12,"No, we're going out.  I've got an early start in the morning."
89,5531550228324592939.xml,90,256.13,257.15,
90,5531550228324592939.xml,91,257.16,259.05,"I don't believe this.  And are you sure, cos little one needs a bit of rest."
91,5531550228324592939.xml,92,259.06,262.07,
92,5531550228324592939.xml,93,262.08,264.03,"You know what your problem is,  you two? You've forgotten how to have fun."
93,5531550228324592939.xml,94,264.04,265.04,
94,5531550228324592939.xml,95,265.05,272.21,No more excuses.  We're going out tonight and we're going to have a good time. TV:  'New York Knickerbockers. Correct.
95,5531550228324592939.xml,96,272.22,273.21,
96,5531550228324592939.xml,97,273.22,273.24,
97,5531550228324592939.xml,98,274.0,274.15,
98,5531550228324592939.xml,99,274.16,275.0,'And your question.  In the game of tennis...'
99,5531550228324592939.xml,100,275.01,276.05,
100,5531550228324592939.xml,101,276.06,277.08,
101,5531550228324592939.xml,102,277.09,279.17,"Whit's not been home for her dinner.  No, she's gone out for something to eat with Pete. Pete?"
102,5531550228324592939.xml,103,279.18,280.18,
103,5531550228324592939.xml,104,280.19,281.24,
104,5531550228324592939.xml,105,282.0,284.13,"Yeah, Peter. Peter Beale.  She's going out with Peter Beale now?"
105,5531550228324592939.xml,106,284.14,285.21,
106,5531550228324592939.xml,107,285.22,288.21,"It's only for something to eat.  Don't hang about, does she?"
107,5531550228324592939.xml,108,288.22,290.06,
108,5531550228324592939.xml,109,290.07,292.01,She's just gone out with a friend.  What about Billie?
109,5531550228324592939.xml,110,292.02,293.11,
110,5531550228324592939.xml,111,293.12,295.23,"Well, look, you know, Whitney needs  someone at the moment. You know, someone to make her feel good."
111,5531550228324592939.xml,112,295.24,299.23,
112,5531550228324592939.xml,113,299.24,301.13,Really? 
113,5531550228324592939.xml,114,301.14,302.12,"Her life's got to keep going, Mum. "
114,5531550228324592939.xml,115,302.13,306.09,Who says? Who says her life's  got to keep going? Or mine?
115,5531550228324592939.xml,116,306.1,306.12,
116,5531550228324592939.xml,117,306.13,308.16,
117,5531550228324592939.xml,118,308.17,309.1,"Cos Billie's isn't, is it? "
118,5531550228324592939.xml,119,309.11,313.1,
119,5531550228324592939.xml,120,313.11,315.23,
120,5531550228324592939.xml,121,315.24,320.09,"TV:  'In the West Indies.' I got to feed him a couple of times,  then he was gone."
121,5531550228324592939.xml,122,320.1,323.02,"Into care?  No. Into a family, a good family."
122,5531550228324592939.xml,123,323.03,326.11,You don't know that.  They promised me that.
123,5531550228324592939.xml,124,326.12,330.02,"He could have been with us.  Couple of care home kids,  what start in life is that?"
124,5531550228324592939.xml,125,330.03,333.18,"Well, better than we had! "
125,5531550228324592939.xml,126,333.19,334.17,"We could have been a family.  He got better than us, Billy."
126,5531550228324592939.xml,127,334.18,336.2,
127,5531550228324592939.xml,128,336.21,338.1,"He got a proper family, nice people  with jobs and all of that."
128,5531550228324592939.xml,129,338.11,340.12,
129,5531550228324592939.xml,130,340.13,342.11,They shouldn't take kids away. 
130,5531550228324592939.xml,131,342.12,345.2,"Well, we didn't have any parents,  but we had each other."
131,5531550228324592939.xml,132,345.21,347.16,You shouldn't have come here! 
132,5531550228324592939.xml,133,347.17,350.04,"You should have just have kept  all this to yourself. Now you've put it all on me, in't ya?"
133,5531550228324592939.xml,134,350.05,351.19,
134,5531550228324592939.xml,135,351.2,354.14,"Yeah. Yeah, I have. "
135,5531550228324592939.xml,136,354.15,355.07,
136,5531550228324592939.xml,137,355.08,361.0,"Time changes nothing for you,  does it, eh? Still the same old self-pity. Still the same old skidmark.  Still the same old Billy."
137,5531550228324592939.xml,138,361.01,374.06,Yo. I got the shopping. 
138,5531550228324592939.xml,139,374.07,375.21,Great.  And I got you these.
139,5531550228324592939.xml,140,375.22,379.15,
140,5531550228324592939.xml,141,379.16,380.23,What have you done wrong?  Nothing.
141,5531550228324592939.xml,142,380.24,381.16,
142,5531550228324592939.xml,143,381.17,382.2,
143,5531550228324592939.xml,144,382.21,385.2,"Flowers?  Yeah, for my beautiful wife. I was thinking maybe we could go out  and have a couple of drinks tonight."
144,5531550228324592939.xml,145,385.21,387.03,
145,5531550228324592939.xml,146,387.04,389.12,
146,5531550228324592939.xml,147,389.13,393.17,"I thought you said  we were on an economy drive. We are, tomorrow. But tonight,  I wanted to take you out."
147,5531550228324592939.xml,148,393.18,397.16,How d'you feel about the R&R?  Apparently they've got a special night going on.
148,5531550228324592939.xml,149,397.17,399.2,Give us a chance to bust our moves  on the dance floor.
149,5531550228324592939.xml,150,399.21,403.24,The R&R? 
150,5531550228324592939.xml,151,404.0,410.1,"Come on, it'll be good.  I thought you usually wanted  to go up to the High Street."
151,5531550228324592939.xml,152,410.11,414.24,"Yeah, but change of scenery.  All right, then, yeah, let's do it."
152,5531550228324592939.xml,153,415.0,416.16,
153,5531550228324592939.xml,154,416.17,417.11,Good. 
154,5531550228324592939.xml,155,417.12,420.21,Just the two of us. 
155,5531550228324592939.xml,156,420.22,426.08,"Yeah, well just give me a call.  I can't seem to get hold of Mum.  Can you have a little walk round the square,"
156,5531550228324592939.xml,157,426.09,427.21,
157,5531550228324592939.xml,158,427.22,432.2,"see if you can find her.  Me? It's your fault. ""Someone to make you feel good."" I was only thinking of Whitney.  Don't think, stick to what you do best - what I tell you! Kids! Bath!"
158,5531550228324592939.xml,159,432.21,436.1,
159,5531550228324592939.xml,160,436.11,440.2,
160,5531550228324592939.xml,161,440.21,443.17,
161,5531550228324592939.xml,162,443.18,445.03,
162,5531550228324592939.xml,163,445.04,464.04,"Didn't have you down as an R&R type.  It's Happy Monday.  You happy, then? Me neither.  All right if I join you?  If you must. No wonder you're on your own.  Yeah, well,  maybe I want to be on my own. Fine."
163,5531550228324592939.xml,164,464.05,468.08,"Stay if you want.  Look, don't do me any favours."
164,5531550228324592939.xml,165,468.09,470.02,"Woe is you, eh, Billy?  What's happened?"
165,5531550228324592939.xml,166,470.03,473.18,"You lost another dead end job?  Something like that, yeah.  Have a drink."
166,5531550228324592939.xml,167,473.19,474.17,
167,5531550228324592939.xml,168,474.18,477.02,What can I get you?  Another gin and tonic. And he can have the other one.
168,5531550228324592939.xml,169,477.03,478.11,
169,5531550228324592939.xml,170,478.12,478.19,
170,5531550228324592939.xml,171,478.2,479.24,"And give us a couple of whiskies  as well, please. Mixing drinks already, Billy?"
171,5531550228324592939.xml,172,480.0,480.22,
172,5531550228324592939.xml,173,480.23,482.03,
173,5531550228324592939.xml,174,482.04,483.15,"Well, it's been one of them days.  Been one of those weeks."
174,5531550228324592939.xml,175,483.16,484.17,
175,5531550228324592939.xml,176,484.18,485.06,
176,5531550228324592939.xml,177,485.07,486.19,
177,5531550228324592939.xml,178,486.2,495.04,"Bond, Bovington, Bobby Moore.  And of course, Byrne.  What a player. Happy days, eh, Charlie?  Not much."
178,5531550228324592939.xml,179,495.05,500.12,"Dad, Alfie, we're going out.  Your dinner's ready.  You need to be taking it easy. You need to take a rest, Kat."
179,5531550228324592939.xml,180,500.13,503.11,"Look, I need a night out,  or I'm going to go bonkers."
180,5531550228324592939.xml,181,503.12,504.19,
181,5531550228324592939.xml,182,504.2,506.15,"Who'll help me at the bar?  Oh, so that's what you're worried about."
182,5531550228324592939.xml,183,506.16,511.22,"No.  I can run around serving beer and cleaning up after you,"
183,5531550228324592939.xml,184,511.23,512.16,
184,5531550228324592939.xml,185,512.17,514.09,but a night out with the girls  is a no-no.
185,5531550228324592939.xml,186,514.1,514.15,
186,5531550228324592939.xml,187,514.16,518.11,"Hang on, I got extra poppadoms.  Yes, Kat, Charlie's got extra poppadoms."
187,5531550228324592939.xml,188,518.12,520.05,"I worry about you, don't I?  That way at the Cellar I can keep me eye on you,"
188,5531550228324592939.xml,189,520.06,522.19,
189,5531550228324592939.xml,190,522.2,525.06,"what with your  swollen plates and all. Anyone mentions my feet,  they'll catch them with their teeth. Charlie's gone to all this effort."
190,5531550228324592939.xml,191,525.07,527.1,
191,5531550228324592939.xml,192,527.11,534.05,Sweetheart a little Monday night  fixture's just what you need. Where's Jean? Still in the bath.
192,5531550228324592939.xml,193,534.06,539.24,"Right, well, she can catch us up.  I'm not hanging round here any longer  than I need to. What about Lily?"
193,5531550228324592939.xml,194,540.0,543.18,"Money.  Whoa, no, I'm a bit short at the moment, love."
194,5531550228324592939.xml,195,543.19,545.11,
195,5531550228324592939.xml,196,545.12,548.22,"Really?  No! Kat, I need that to pay the geezer who's going to fix the telly, all right."
196,5531550228324592939.xml,197,548.23,551.13,"You'll think of something.  Come on, Stace, the night awaits."
197,5531550228324592939.xml,198,551.14,553.06,
198,5531550228324592939.xml,199,553.07,554.16,Bye. 
199,5531550228324592939.xml,200,554.17,557.03,"And don't ask Jean to baby-sit,  she's meeting us!"
200,5531550228324592939.xml,201,557.04,559.02,
201,5531550228324592939.xml,202,559.03,563.08,"Oh, well.  More for us! "
202,5531550228324592939.xml,203,563.09,567.04,"Yeah, could do with  a bit more rice(!)"
203,5531550228324592939.xml,204,567.05,568.12,
204,5531550228324592939.xml,205,568.13,571.13,Same again.  Gin or whisky?
205,5531550228324592939.xml,206,571.14,572.22,Both. 
206,5531550228324592939.xml,207,572.23,576.05,"Right, there you go.  Two gins, and what, two whiskies?  Aye aye."
207,5531550228324592939.xml,208,576.06,578.13,
208,5531550228324592939.xml,209,578.14,580.06,Christian! 
209,5531550228324592939.xml,210,580.07,581.06,
210,5531550228324592939.xml,211,581.07,582.07,
211,5531550228324592939.xml,212,582.08,583.05,"And Syed. You two joined  at the hip, then, or what?"
212,5531550228324592939.xml,213,583.06,584.14,
213,5531550228324592939.xml,214,584.15,587.12,"Oi, cheeky.  Right, hold on, a lager and orange juice, yeah?"
214,5531550228324592939.xml,215,587.13,595.23,"Woah, whoa, I was here first.  Got a thirst on?  Was I talking to you? You want to brush up on your manners,  Billy. Mind your own business."
215,5531550228324592939.xml,216,595.24,597.06,
216,5531550228324592939.xml,217,597.07,599.09,"Oi, oi! Here. Seven quid. "
217,5531550228324592939.xml,218,599.1,601.01,
218,5531550228324592939.xml,219,601.02,601.22,
219,5531550228324592939.xml,220,601.23,603.03,
220,5531550228324592939.xml,221,603.04,604.14,
221,5531550228324592939.xml,222,604.15,606.03,
222,5531550228324592939.xml,223,606.04,608.14,Aren't my family a bunch  of charmers(?)
223,5531550228324592939.xml,224,608.15,617.1,What are you doing?  Just checking. Lily is fine. I don't know if I told Uncle Charlie  where I left the milk. It's in the fridge.  What if he can't find it?
224,5531550228324592939.xml,225,617.11,618.1,It's next to the beer.  What if he falls asleep and gets drunk?
225,5531550228324592939.xml,226,618.11,639.17,"He'll soon wake up when Lily starts  screaming. Now, we're out on it, and I want you to enjoy yourself. Party girls!  We will be as soon as she gets some drink down her neck, and remembers that she's  a young single woman. Come on, little mamma,  it's Happy Monday! Yeah! "
226,5531550228324592939.xml,227,639.18,656.19,"Hello, mate. Yeah,  sorry for the late notice, but I actually won't be needing you  to come round to fit the TV, OK? Ere, what a bit of luck.  Alfie, I've only found programmes "
227,5531550228324592939.xml,228,656.2,658.11,"from 1966, 1967 and 1965. "
228,5531550228324592939.xml,229,658.12,659.18,
229,5531550228324592939.xml,230,659.19,660.19,
230,5531550228324592939.xml,231,660.2,663.14,"Oh, wow. That is brilliant, Charlie. "
231,5531550228324592939.xml,232,663.15,665.21,
232,5531550228324592939.xml,233,665.22,668.01,"Well done, mate. Do you mind  if we have a look at them later? Is that all right?"
233,5531550228324592939.xml,234,668.02,669.05,
234,5531550228324592939.xml,235,669.06,673.02,"What d'you mean, later?  Only I've got to bomb over the Cellar and see a man about fixing me TV, you know."
235,5531550228324592939.xml,236,673.03,676.07,But what about your afters? I got  you a tin of peaches and some cream.
236,5531550228324592939.xml,237,676.08,679.14,"Get away, that sounds fantastic.  Save me some, Charlie, I'll see you a bit later, mate. Thank you."
237,5531550228324592939.xml,238,679.15,688.0,
238,5531550228324592939.xml,239,688.01,689.17,
239,5531550228324592939.xml,240,689.18,692.13,
240,5531550228324592939.xml,241,692.14,721.23,"OK, look, so I get real ale.  But that stuff? Does it really taste of anything? It's not always about the taste,  though. So what's it about? The atmosphere, the night, the whole package. Look,  your hair's perfect, you've been down the gym, had a party pump. Your chest looks good.  Got your tightest top on, sleeves are rolled up,  showing off the arms. Very effective. Pick up bottle,  flick the wrist, tricep pops. Walk into the gaff  like you own the place, scanning the room  for the fittest bloke. Er... See him nursing an orange juice  and think to yourself, ""Well, he is mine tonight."""
241,5531550228324592939.xml,242,721.24,724.18,"Oh, really?  Absolutely. D'you miss it? Miss what?"
242,5531550228324592939.xml,243,724.19,727.13,
243,5531550228324592939.xml,244,727.14,734.05,What you've just described.  How can I miss anything  when I've got you?
244,5531550228324592939.xml,245,734.06,745.03,"It's not right.  I didn't put you down as homophobic. Any man kissing anyone that's  not me, that's what's not right."
245,5531550228324592939.xml,246,745.04,746.19,
246,5531550228324592939.xml,247,746.2,750.16,"OK, we've got a limited target  tonight, girls, so let's work together, let's keep the focus."
247,5531550228324592939.xml,248,750.17,752.18,
248,5531550228324592939.xml,249,752.19,754.1,
249,5531550228324592939.xml,250,754.11,758.14,"So, when was the last time  you got any? Her? Good few months ago, ain't it? "
250,5531550228324592939.xml,251,758.15,761.21,"Do you mind?  No, but you should. Months?  OK, your need is greater than mine."
251,5531550228324592939.xml,252,761.22,762.22,
252,5531550228324592939.xml,253,762.23,765.0,"So, what's your type?  Forget that. We'll start with  ""breathing,"" and then we'll work our way up. Right, ladies,"
253,5531550228324592939.xml,254,765.01,767.12,
254,5531550228324592939.xml,255,767.13,770.01,"keep the focus,  cos little mamma here is going to get some lovin' tonight,"
255,5531550228324592939.xml,256,770.02,772.06,
256,5531550228324592939.xml,257,772.07,772.2,
257,5531550228324592939.xml,258,772.21,773.01,
258,5531550228324592939.xml,259,773.02,775.1,or my name is not  Kimberleigh Harmony Angelica Fox.
259,5531550228324592939.xml,260,775.11,776.08,
260,5531550228324592939.xml,261,776.09,776.24,
261,5531550228324592939.xml,262,777.0,777.1,
262,5531550228324592939.xml,263,777.11,779.17,
263,5531550228324592939.xml,264,779.18,780.05,You all right? 
264,5531550228324592939.xml,265,780.06,780.18,
265,5531550228324592939.xml,266,780.19,781.16,
266,5531550228324592939.xml,267,781.17,787.02,"THEY CONTINUE LAUGHING  You single? Great, the Witches Of Eastwick  are here, then."
267,5531550228324592939.xml,268,787.03,788.0,
268,5531550228324592939.xml,269,788.01,789.03,
269,5531550228324592939.xml,270,789.04,790.22,"What?  Oh, surprised? Really?"
270,5531550228324592939.xml,271,790.23,793.02,What are you talking about?  I'm talking about Dog Slater over there making plans
271,5531550228324592939.xml,272,793.03,793.11,
272,5531550228324592939.xml,273,793.12,794.18,
273,5531550228324592939.xml,274,794.19,801.07,"in the nail bar to come here  and then, what, only an hour later you want to go out clubbing tonight to somewhere you never  normally go to."
274,5531550228324592939.xml,275,801.08,803.08,And then you came home with  flowers. Market stall flowers bought from a Slater I'm guessing.
275,5531550228324592939.xml,276,803.09,805.06,
276,5531550228324592939.xml,277,805.07,816.21,"What, you think I wanted to  come here cos Kat Slater was? No, cos you knew Little Miss  Sunshine over there would be here. Janine, you can stop that right now,  OK? I didn't know they were going to be here."
277,5531550228324592939.xml,278,816.22,818.06,"I don't believe you.  Fine, whatever. Let's go, then."
278,5531550228324592939.xml,279,818.07,821.02,No way. We've paid to come in now.  You just said that you...
279,5531550228324592939.xml,280,821.03,822.11,
280,5531550228324592939.xml,281,822.12,823.01,
281,5531550228324592939.xml,282,823.02,827.07,"I am not going anywhere, Ryan.  I'm not going to let that lot think I can be driven out."
282,5531550228324592939.xml,283,827.08,830.14,Go and play with your friends  if you want.
283,5531550228324592939.xml,284,830.15,832.08,"I didn't know they were going to be  here, and I didn't plan anything."
284,5531550228324592939.xml,285,832.09,833.16,
285,5531550228324592939.xml,286,833.17,835.0,I don't believe you. 
286,5531550228324592939.xml,287,835.01,836.09,If this is the way you're going  to be all night then I'm going.
287,5531550228324592939.xml,288,836.1,838.07,
288,5531550228324592939.xml,289,838.08,839.11,"And if you want to join me,  I'll be up the High Street."
289,5531550228324592939.xml,290,839.12,841.1,
290,5531550228324592939.xml,291,841.11,844.1,
291,5531550228324592939.xml,292,844.11,846.05,
292,5531550228324592939.xml,293,846.06,848.07,
293,5531550228324592939.xml,294,848.08,857.14,"Same again, girls?  Yeah, please. Yeah, thanks. Quiet night tonight?  No-one paying for it?"
294,5531550228324592939.xml,295,857.15,861.07,No. There's too many people  in here giving it away.
295,5531550228324592939.xml,296,861.08,863.02,
296,5531550228324592939.xml,297,863.03,864.19,
297,5531550228324592939.xml,298,864.2,865.08,
298,5531550228324592939.xml,299,865.09,867.04,Do you think  you'd do things different if you had your time again?
299,5531550228324592939.xml,300,867.05,868.16,
300,5531550228324592939.xml,301,868.17,870.03,
301,5531550228324592939.xml,302,870.04,882.16,"I don't think it matters what  you do. You're marked at birth. So what's the struggle for, you know?  What's the point of it all? "
302,5531550228324592939.xml,303,882.17,888.22,The point of it all...  The point of it all  is to look out for yourself.
303,5531550228324592939.xml,304,888.23,893.11,"Yeah, you can't if you've got kids. "
304,5531550228324592939.xml,305,893.12,898.2,Nothing I have ever given my kids  has helped 'em or made their lives better.
305,5531550228324592939.xml,306,898.21,904.05,So don't tell me  that it ain't all pre-planned.
306,5531550228324592939.xml,307,904.06,910.02,"Billie never had a chance,  then, did he?"
307,5531550228324592939.xml,308,910.03,922.01,"Where do I go from here?  Listen, listen.  Listen to me, all right? Yeah?"
308,5531550228324592939.xml,309,922.02,928.02,What you do...  Yeah?
309,5531550228324592939.xml,310,928.03,933.07,"...you start again.  You make a new life.  Oh, no, I don't think so. "
310,5531550228324592939.xml,311,933.08,936.13,
311,5531550228324592939.xml,312,936.14,937.15,
312,5531550228324592939.xml,313,937.16,940.09,"What the hell  do you think you're doing? Me and you, we could make a new  life, go somewhere different."
313,5531550228324592939.xml,314,940.1,941.13,
314,5531550228324592939.xml,315,941.14,942.02,
315,5531550228324592939.xml,316,942.03,942.21,
316,5531550228324592939.xml,317,942.22,943.12,"I don't think so.  Come on, you know I've always liked you."
317,5531550228324592939.xml,318,943.13,945.0,
318,5531550228324592939.xml,319,945.01,945.22,
319,5531550228324592939.xml,320,945.23,949.14,"I don't want you, Billy!  Who d'you think you are, eh! You  think they're queuing up for you?"
320,5531550228324592939.xml,321,949.15,950.15,
321,5531550228324592939.xml,322,950.16,952.17,
322,5531550228324592939.xml,323,952.18,953.2,Oi! What is going on? 
323,5531550228324592939.xml,324,953.21,955.03,Carol? Excuse me. 
324,5531550228324592939.xml,325,955.04,956.03,
325,5531550228324592939.xml,326,956.04,957.19,What was that all about? 
326,5531550228324592939.xml,327,957.2,959.01,
327,5531550228324592939.xml,328,959.02,960.1,Women. 
328,5531550228324592939.xml,329,960.11,960.16,
329,5531550228324592939.xml,330,960.17,961.16,
330,5531550228324592939.xml,331,961.17,963.12,
331,5531550228324592939.xml,332,963.13,964.0,
332,5531550228324592939.xml,333,964.01,964.04,
333,5531550228324592939.xml,334,964.05,967.1,Get in there! 
334,5531550228324592939.xml,335,967.11,969.05,"I'm nearly there, boys, all right.  Be patient, I'm nearly there."
335,5531550228324592939.xml,336,969.06,970.17,
336,5531550228324592939.xml,337,970.18,980.04,"There we go. Look at that.  Beauty, eh? They were going to charge me  50 quid to put that up. Liberties! Damn liberty, course it is.  All right, boys, come to watch the footie?"
337,5531550228324592939.xml,338,980.05,980.24,
338,5531550228324592939.xml,339,981.0,985.06,"Come on the Hammers!  Hold on, just give me a sec. "
339,5531550228324592939.xml,340,985.07,985.19,
340,5531550228324592939.xml,341,985.2,986.13,
341,5531550228324592939.xml,342,986.14,988.01,
342,5531550228324592939.xml,343,988.02,988.21,
343,5531550228324592939.xml,344,988.22,989.1,
344,5531550228324592939.xml,345,989.11,990.15,
345,5531550228324592939.xml,346,990.16,991.16,
346,5531550228324592939.xml,347,991.17,993.24,
347,5531550228324592939.xml,348,994.0,995.1,
348,5531550228324592939.xml,349,995.11,996.14,
349,5531550228324592939.xml,350,996.15,997.16,
350,5531550228324592939.xml,351,997.17,1000.2,How about a drink drink? 
351,5531550228324592939.xml,352,1000.21,1002.01,"No, you're all right. "
352,5531550228324592939.xml,353,1002.02,1004.05,"Oh, come on!  Babe, look at that complexion. No drink, no drugs."
353,5531550228324592939.xml,354,1004.06,1004.19,
354,5531550228324592939.xml,355,1004.2,1005.05,
355,5531550228324592939.xml,356,1005.06,1005.2,
356,5531550228324592939.xml,357,1005.21,1006.24,I'm the only vice he needs. 
357,5531550228324592939.xml,358,1007.0,1009.03,"Yeah, you and chocolate. "
358,5531550228324592939.xml,359,1009.04,1010.01,What a waste.  Which one?
359,5531550228324592939.xml,360,1010.02,1010.05,
360,5531550228324592939.xml,361,1010.06,1010.24,
361,5531550228324592939.xml,362,1011.0,1013.04,Both.  Both? Syed's a weed.
362,5531550228324592939.xml,363,1013.05,1014.21,
363,5531550228324592939.xml,364,1014.22,1015.17,Now there speaks a jealous fag hag. 
364,5531550228324592939.xml,365,1015.18,1016.12,
