,file,shot_id,start,end,start_s,end_s,duration
23,5531550228324592939.mp4,24,00:01:20:02,00:01:22:17,80.02,82.17,2.1500000000000057
24,5531550228324592939.mp4,25,00:01:22:18,00:01:23:17,82.18,83.17,0.9899999999999949
25,5531550228324592939.mp4,26,00:01:23:18,00:01:26:23,83.18,86.23,3.049999999999997
26,5531550228324592939.mp4,27,00:01:26:24,00:01:27:15,86.24,87.15,0.9100000000000108
27,5531550228324592939.mp4,28,00:01:27:16,00:01:29:20,87.16,89.2,2.0400000000000063
28,5531550228324592939.mp4,29,00:01:29:21,00:01:30:18,89.21,90.18,0.9700000000000131
29,5531550228324592939.mp4,30,00:01:30:19,00:01:32:13,90.19,92.13,1.9399999999999977
30,5531550228324592939.mp4,31,00:01:32:14,00:01:33:14,92.14,93.14,1.0
31,5531550228324592939.mp4,32,00:01:33:15,00:01:34:14,93.15,94.14,0.9899999999999949
32,5531550228324592939.mp4,33,00:01:34:15,00:01:34:21,94.15,94.21,0.05999999999998806
33,5531550228324592939.mp4,34,00:01:34:22,00:01:36:21,94.22,96.21,1.9899999999999949
34,5531550228324592939.mp4,35,00:01:36:22,00:01:37:20,96.22,97.2,0.980000000000004
35,5531550228324592939.mp4,36,00:01:37:21,00:01:39:14,97.21,99.14,1.9300000000000068
36,5531550228324592939.mp4,37,00:01:39:15,00:01:41:18,99.15,101.18,2.030000000000001
37,5531550228324592939.mp4,38,00:01:41:19,00:01:46:01,101.19,106.01,4.820000000000007
38,5531550228324592939.mp4,39,00:01:46:02,00:01:56:20,106.02,116.2,10.180000000000007
39,5531550228324592939.mp4,40,00:01:56:21,00:02:01:00,116.21,121.0,4.790000000000006
40,5531550228324592939.mp4,41,00:02:01:01,00:02:03:21,121.01,123.21,2.1999999999999886
41,5531550228324592939.mp4,42,00:02:03:22,00:02:06:00,123.22,126.0,2.780000000000001
42,5531550228324592939.mp4,43,00:02:06:01,00:02:07:21,126.01,127.21,1.1999999999999886
43,5531550228324592939.mp4,44,00:02:07:22,00:02:16:08,127.22,136.08,8.860000000000014
44,5531550228324592939.mp4,45,00:02:16:09,00:02:17:02,136.09,137.02,0.9300000000000068
45,5531550228324592939.mp4,46,00:02:17:03,00:02:18:15,137.03,138.15,1.1200000000000045
46,5531550228324592939.mp4,47,00:02:18:16,00:02:19:08,138.16,139.08,0.9200000000000159
47,5531550228324592939.mp4,48,00:02:19:09,00:02:29:00,139.09,149.0,9.909999999999997
48,5531550228324592939.mp4,49,00:02:29:01,00:02:31:02,149.01,151.02,2.0100000000000193
49,5531550228324592939.mp4,50,00:02:31:03,00:02:34:01,151.03,154.01,2.9799999999999898
50,5531550228324592939.mp4,51,00:02:34:02,00:02:35:08,154.02,155.08,1.0600000000000023
51,5531550228324592939.mp4,52,00:02:35:09,00:02:38:17,155.09,158.17,3.079999999999984
52,5531550228324592939.mp4,53,00:02:38:18,00:02:57:24,158.18,177.24,19.060000000000002
53,5531550228324592939.mp4,54,00:02:58:00,00:03:00:21,178.0,180.21,2.210000000000008
54,5531550228324592939.mp4,55,00:03:00:22,00:03:01:23,180.22,181.23,1.009999999999991
55,5531550228324592939.mp4,56,00:03:01:24,00:03:03:04,181.24,183.04,1.799999999999983
56,5531550228324592939.mp4,57,00:03:03:05,00:03:04:13,183.05,184.13,1.079999999999984
57,5531550228324592939.mp4,58,00:03:04:14,00:03:05:16,184.14,185.16,1.0200000000000102
58,5531550228324592939.mp4,59,00:03:05:17,00:03:06:12,185.17,186.12,0.950000000000017
59,5531550228324592939.mp4,60,00:03:06:13,00:03:09:15,186.13,189.15,3.0200000000000102
60,5531550228324592939.mp4,61,00:03:09:16,00:03:18:17,189.16,198.17,9.009999999999991
61,5531550228324592939.mp4,62,00:03:18:18,00:03:19:22,198.18,199.22,1.039999999999992
62,5531550228324592939.mp4,63,00:03:19:23,00:03:24:06,199.23,204.06,4.8300000000000125
63,5531550228324592939.mp4,64,00:03:24:07,00:03:26:07,204.07,206.07,2.0
64,5531550228324592939.mp4,65,00:03:26:08,00:03:27:23,206.08,207.23,1.1499999999999773
65,5531550228324592939.mp4,66,00:03:27:24,00:03:28:01,207.24,208.01,0.7699999999999818
66,5531550228324592939.mp4,67,00:03:28:02,00:03:30:11,208.02,210.11,2.0900000000000034
67,5531550228324592939.mp4,68,00:03:30:12,00:03:33:00,210.12,213.0,2.8799999999999955
68,5531550228324592939.mp4,69,00:03:33:01,00:03:36:02,213.01,216.02,3.0100000000000193
69,5531550228324592939.mp4,70,00:03:36:03,00:03:36:20,216.03,216.2,0.1699999999999875
70,5531550228324592939.mp4,71,00:03:36:21,00:03:37:06,216.21,217.06,0.8499999999999943
71,5531550228324592939.mp4,72,00:03:37:07,00:03:39:17,217.07,219.17,2.0999999999999943
72,5531550228324592939.mp4,73,00:03:39:18,00:03:40:23,219.18,220.23,1.049999999999983
73,5531550228324592939.mp4,74,00:03:40:24,00:03:42:12,220.24,222.12,1.8799999999999955
74,5531550228324592939.mp4,75,00:03:42:13,00:03:44:08,222.13,224.08,1.950000000000017
75,5531550228324592939.mp4,76,00:03:44:09,00:03:45:18,224.09,225.18,1.0900000000000034
76,5531550228324592939.mp4,77,00:03:45:19,00:03:47:18,225.19,227.18,1.990000000000009
77,5531550228324592939.mp4,78,00:03:47:19,00:03:52:03,227.19,232.03,4.840000000000003
78,5531550228324592939.mp4,79,00:03:52:04,00:03:55:15,232.04,235.15,3.1100000000000136
79,5531550228324592939.mp4,80,00:03:55:16,00:03:57:01,235.16,237.01,1.8499999999999943
80,5531550228324592939.mp4,81,00:03:57:02,00:04:00:12,237.02,240.12,3.0999999999999943
81,5531550228324592939.mp4,82,00:04:00:13,00:04:03:05,240.13,243.05,2.920000000000016
82,5531550228324592939.mp4,83,00:04:03:06,00:04:04:20,243.06,244.2,1.1399999999999864
83,5531550228324592939.mp4,84,00:04:04:21,00:04:06:13,244.21,246.13,1.9199999999999875
84,5531550228324592939.mp4,85,00:04:06:14,00:04:08:10,246.14,248.1,1.960000000000008
85,5531550228324592939.mp4,86,00:04:08:11,00:04:11:08,248.11,251.08,2.969999999999999
86,5531550228324592939.mp4,87,00:04:11:09,00:04:13:17,251.09,253.17,2.079999999999984
87,5531550228324592939.mp4,88,00:04:13:18,00:04:15:04,253.18,255.04,1.8599999999999852
88,5531550228324592939.mp4,89,00:04:15:05,00:04:16:12,255.05,256.12,1.0699999999999932
89,5531550228324592939.mp4,90,00:04:16:13,00:04:17:15,256.13,257.15,1.0199999999999818
90,5531550228324592939.mp4,91,00:04:17:16,00:04:19:05,257.16,259.05,1.8899999999999864
91,5531550228324592939.mp4,92,00:04:19:06,00:04:22:07,259.06,262.07,3.009999999999991
92,5531550228324592939.mp4,93,00:04:22:08,00:04:24:03,262.08,264.03,1.9499999999999886
93,5531550228324592939.mp4,94,00:04:24:04,00:04:25:04,264.04,265.04,1.0
94,5531550228324592939.mp4,95,00:04:25:05,00:04:32:21,265.05,272.21,7.159999999999968
95,5531550228324592939.mp4,96,00:04:32:22,00:04:33:21,272.22,273.21,0.9899999999999523
96,5531550228324592939.mp4,97,00:04:33:22,00:04:33:24,273.22,273.24,0.01999999999998181
97,5531550228324592939.mp4,98,00:04:34:00,00:04:34:15,274.0,274.15,0.14999999999997726
98,5531550228324592939.mp4,99,00:04:34:16,00:04:35:00,274.16,275.0,0.839999999999975
99,5531550228324592939.mp4,100,00:04:35:01,00:04:36:05,275.01,276.05,1.0400000000000205
100,5531550228324592939.mp4,101,00:04:36:06,00:04:37:08,276.06,277.08,1.0199999999999818
101,5531550228324592939.mp4,102,00:04:37:09,00:04:39:17,277.09,279.17,2.080000000000041
102,5531550228324592939.mp4,103,00:04:39:18,00:04:40:18,279.18,280.18,1.0
103,5531550228324592939.mp4,104,00:04:40:19,00:04:41:24,280.19,281.24,1.0500000000000114
104,5531550228324592939.mp4,105,00:04:42:00,00:04:44:13,282.0,284.13,2.1299999999999955
105,5531550228324592939.mp4,106,00:04:44:14,00:04:45:21,284.14,285.21,1.0699999999999932
106,5531550228324592939.mp4,107,00:04:45:22,00:04:48:21,285.22,288.21,2.9899999999999523
107,5531550228324592939.mp4,108,00:04:48:22,00:04:50:06,288.22,290.06,1.839999999999975
108,5531550228324592939.mp4,109,00:04:50:07,00:04:52:01,290.07,292.01,1.9399999999999977
109,5531550228324592939.mp4,110,00:04:52:02,00:04:53:11,292.02,293.11,1.0900000000000318
110,5531550228324592939.mp4,111,00:04:53:12,00:04:55:23,293.12,295.23,2.1100000000000136
111,5531550228324592939.mp4,112,00:04:55:24,00:04:59:23,295.24,299.23,3.990000000000009
112,5531550228324592939.mp4,113,00:04:59:24,00:05:01:13,299.24,301.13,1.8899999999999864
113,5531550228324592939.mp4,114,00:05:01:14,00:05:02:12,301.14,302.12,0.9800000000000182
114,5531550228324592939.mp4,115,00:05:02:13,00:05:06:09,302.13,306.09,3.9599999999999795
115,5531550228324592939.mp4,116,00:05:06:10,00:05:06:12,306.1,306.12,0.01999999999998181
116,5531550228324592939.mp4,117,00:05:06:13,00:05:08:16,306.13,308.16,2.0300000000000296
117,5531550228324592939.mp4,118,00:05:08:17,00:05:09:10,308.17,309.1,0.9300000000000068
118,5531550228324592939.mp4,119,00:05:09:11,00:05:13:10,309.11,313.1,3.990000000000009
119,5531550228324592939.mp4,120,00:05:13:11,00:05:15:23,313.11,315.23,2.1200000000000045
120,5531550228324592939.mp4,121,00:05:15:24,00:05:20:09,315.24,320.09,4.849999999999966
121,5531550228324592939.mp4,122,00:05:20:10,00:05:23:02,320.1,323.02,2.919999999999959
122,5531550228324592939.mp4,123,00:05:23:03,00:05:26:11,323.03,326.11,3.080000000000041
123,5531550228324592939.mp4,124,00:05:26:12,00:05:30:02,326.12,330.02,3.8999999999999773
124,5531550228324592939.mp4,125,00:05:30:03,00:05:33:18,330.03,333.18,3.150000000000034
125,5531550228324592939.mp4,126,00:05:33:19,00:05:34:17,333.19,334.17,0.9800000000000182
126,5531550228324592939.mp4,127,00:05:34:18,00:05:36:20,334.18,336.2,2.019999999999982
127,5531550228324592939.mp4,128,00:05:36:21,00:05:38:10,336.21,338.1,1.8900000000000432
128,5531550228324592939.mp4,129,00:05:38:11,00:05:40:12,338.11,340.12,2.009999999999991
129,5531550228324592939.mp4,130,00:05:40:13,00:05:42:11,340.13,342.11,1.9800000000000182
130,5531550228324592939.mp4,131,00:05:42:12,00:05:45:20,342.12,345.2,3.079999999999984
131,5531550228324592939.mp4,132,00:05:45:21,00:05:47:16,345.21,347.16,1.9500000000000455
132,5531550228324592939.mp4,133,00:05:47:17,00:05:50:04,347.17,350.04,2.8700000000000045
133,5531550228324592939.mp4,134,00:05:50:05,00:05:51:19,350.05,351.19,1.1399999999999864
134,5531550228324592939.mp4,135,00:05:51:20,00:05:54:14,351.2,354.14,2.9399999999999977
135,5531550228324592939.mp4,136,00:05:54:15,00:05:55:07,354.15,355.07,0.9200000000000159
136,5531550228324592939.mp4,137,00:05:55:08,00:06:01:00,355.08,361.0,5.920000000000016
137,5531550228324592939.mp4,138,00:06:01:01,00:06:14:06,361.01,374.06,13.050000000000011
138,5531550228324592939.mp4,139,00:06:14:07,00:06:15:21,374.07,375.21,1.1399999999999864
139,5531550228324592939.mp4,140,00:06:15:22,00:06:19:15,375.22,379.15,3.92999999999995
140,5531550228324592939.mp4,141,00:06:19:16,00:06:20:23,379.16,380.23,1.0699999999999932
141,5531550228324592939.mp4,142,00:06:20:24,00:06:21:16,380.24,381.16,0.9200000000000159
142,5531550228324592939.mp4,143,00:06:21:17,00:06:22:20,381.17,382.2,1.0299999999999727
143,5531550228324592939.mp4,144,00:06:22:21,00:06:25:20,382.21,385.2,2.990000000000009
144,5531550228324592939.mp4,145,00:06:25:21,00:06:27:03,385.21,387.03,1.8199999999999932
145,5531550228324592939.mp4,146,00:06:27:04,00:06:29:12,387.04,389.12,2.079999999999984
146,5531550228324592939.mp4,147,00:06:29:13,00:06:33:17,389.13,393.17,4.0400000000000205
147,5531550228324592939.mp4,148,00:06:33:18,00:06:37:16,393.18,397.16,3.980000000000018
148,5531550228324592939.mp4,149,00:06:37:17,00:06:39:20,397.17,399.2,2.0299999999999727
149,5531550228324592939.mp4,150,00:06:39:21,00:06:43:24,399.21,403.24,4.03000000000003
150,5531550228324592939.mp4,151,00:06:44:00,00:06:50:10,404.0,410.1,6.100000000000023
151,5531550228324592939.mp4,152,00:06:50:11,00:06:54:24,410.11,414.24,4.1299999999999955
152,5531550228324592939.mp4,153,00:06:55:00,00:06:56:16,415.0,416.16,1.160000000000025
153,5531550228324592939.mp4,154,00:06:56:17,00:06:57:11,416.17,417.11,0.9399999999999977
154,5531550228324592939.mp4,155,00:06:57:12,00:07:00:21,417.12,420.21,3.089999999999975
155,5531550228324592939.mp4,156,00:07:00:22,00:07:06:08,420.22,426.08,5.859999999999957
156,5531550228324592939.mp4,157,00:07:06:09,00:07:07:21,426.09,427.21,1.1200000000000045
157,5531550228324592939.mp4,158,00:07:07:22,00:07:12:20,427.22,432.2,4.979999999999961
158,5531550228324592939.mp4,159,00:07:12:21,00:07:16:10,432.21,436.1,3.890000000000043
159,5531550228324592939.mp4,160,00:07:16:11,00:07:20:20,436.11,440.2,4.089999999999975
160,5531550228324592939.mp4,161,00:07:20:21,00:07:23:17,440.21,443.17,2.9600000000000364
161,5531550228324592939.mp4,162,00:07:23:18,00:07:25:03,443.18,445.03,1.849999999999966
162,5531550228324592939.mp4,163,00:07:25:04,00:07:44:04,445.04,464.04,19.0
163,5531550228324592939.mp4,164,00:07:44:05,00:07:48:08,464.05,468.08,4.029999999999973
164,5531550228324592939.mp4,165,00:07:48:09,00:07:50:02,468.09,470.02,1.9300000000000068
165,5531550228324592939.mp4,166,00:07:50:03,00:07:53:18,470.03,473.18,3.150000000000034
166,5531550228324592939.mp4,167,00:07:53:19,00:07:54:17,473.19,474.17,0.9800000000000182
167,5531550228324592939.mp4,168,00:07:54:18,00:07:57:02,474.18,477.02,2.839999999999975
168,5531550228324592939.mp4,169,00:07:57:03,00:07:58:11,477.03,478.11,1.080000000000041
169,5531550228324592939.mp4,170,00:07:58:12,00:07:58:19,478.12,478.19,0.06999999999999318
170,5531550228324592939.mp4,171,00:07:58:20,00:07:59:24,478.2,479.24,1.0400000000000205
171,5531550228324592939.mp4,172,00:08:00:00,00:08:00:22,480.0,480.22,0.22000000000002728
172,5531550228324592939.mp4,173,00:08:00:23,00:08:02:03,480.23,482.03,1.7999999999999545
173,5531550228324592939.mp4,174,00:08:02:04,00:08:03:15,482.04,483.15,1.1099999999999568
174,5531550228324592939.mp4,175,00:08:03:16,00:08:04:17,483.16,484.17,1.009999999999991
175,5531550228324592939.mp4,176,00:08:04:18,00:08:05:06,484.18,485.06,0.8799999999999955
176,5531550228324592939.mp4,177,00:08:05:07,00:08:06:19,485.07,486.19,1.1200000000000045
177,5531550228324592939.mp4,178,00:08:06:20,00:08:15:04,486.2,495.04,8.840000000000032
178,5531550228324592939.mp4,179,00:08:15:05,00:08:20:12,495.05,500.12,5.069999999999993
179,5531550228324592939.mp4,180,00:08:20:13,00:08:23:11,500.13,503.11,2.980000000000018
180,5531550228324592939.mp4,181,00:08:23:12,00:08:24:19,503.12,504.19,1.0699999999999932
181,5531550228324592939.mp4,182,00:08:24:20,00:08:26:15,504.2,506.15,1.9499999999999886
182,5531550228324592939.mp4,183,00:08:26:16,00:08:31:22,506.16,511.22,5.060000000000002
183,5531550228324592939.mp4,184,00:08:31:23,00:08:32:16,511.23,512.16,0.92999999999995
184,5531550228324592939.mp4,185,00:08:32:17,00:08:34:09,512.17,514.09,1.9200000000000728
185,5531550228324592939.mp4,186,00:08:34:10,00:08:34:15,514.1,514.15,0.049999999999954525
186,5531550228324592939.mp4,187,00:08:34:16,00:08:38:11,514.16,518.11,3.9500000000000455
187,5531550228324592939.mp4,188,00:08:38:12,00:08:40:05,518.12,520.05,1.92999999999995
188,5531550228324592939.mp4,189,00:08:40:06,00:08:42:19,520.06,522.19,2.130000000000109
189,5531550228324592939.mp4,190,00:08:42:20,00:08:45:06,522.2,525.06,2.8599999999999
190,5531550228324592939.mp4,191,00:08:45:07,00:08:47:10,525.07,527.1,2.0299999999999727
191,5531550228324592939.mp4,192,00:08:47:11,00:08:54:05,527.11,534.05,6.939999999999941
192,5531550228324592939.mp4,193,00:08:54:06,00:08:59:24,534.06,539.24,5.180000000000064
193,5531550228324592939.mp4,194,00:09:00:00,00:09:03:18,540.0,543.18,3.17999999999995
194,5531550228324592939.mp4,195,00:09:03:19,00:09:05:11,543.19,545.11,1.919999999999959
195,5531550228324592939.mp4,196,00:09:05:12,00:09:08:22,545.12,548.22,3.1000000000000227
196,5531550228324592939.mp4,197,00:09:08:23,00:09:11:13,548.23,551.13,2.8999999999999773
197,5531550228324592939.mp4,198,00:09:11:14,00:09:13:06,551.14,553.06,1.919999999999959
198,5531550228324592939.mp4,199,00:09:13:07,00:09:14:16,553.07,554.16,1.0899999999999181
199,5531550228324592939.mp4,200,00:09:14:17,00:09:17:03,554.17,557.03,2.8600000000000136
200,5531550228324592939.mp4,201,00:09:17:04,00:09:19:02,557.04,559.02,1.9800000000000182
201,5531550228324592939.mp4,202,00:09:19:03,00:09:23:08,559.03,563.08,4.050000000000068
202,5531550228324592939.mp4,203,00:09:23:09,00:09:27:04,563.09,567.04,3.949999999999932
203,5531550228324592939.mp4,204,00:09:27:05,00:09:28:12,567.05,568.12,1.07000000000005
204,5531550228324592939.mp4,205,00:09:28:13,00:09:31:13,568.13,571.13,3.0
205,5531550228324592939.mp4,206,00:09:31:14,00:09:32:22,571.14,572.22,1.080000000000041
206,5531550228324592939.mp4,207,00:09:32:23,00:09:36:05,572.23,576.05,3.8199999999999363
207,5531550228324592939.mp4,208,00:09:36:06,00:09:38:13,576.06,578.13,2.07000000000005
208,5531550228324592939.mp4,209,00:09:38:14,00:09:40:06,578.14,580.06,1.919999999999959
209,5531550228324592939.mp4,210,00:09:40:07,00:09:41:06,580.07,581.06,0.9899999999998954
210,5531550228324592939.mp4,211,00:09:41:07,00:09:42:07,581.07,582.07,1.0
211,5531550228324592939.mp4,212,00:09:42:08,00:09:43:05,582.08,583.05,0.9699999999999136
212,5531550228324592939.mp4,213,00:09:43:06,00:09:44:14,583.06,584.14,1.080000000000041
213,5531550228324592939.mp4,214,00:09:44:15,00:09:47:12,584.15,587.12,2.9700000000000273
214,5531550228324592939.mp4,215,00:09:47:13,00:09:55:23,587.13,595.23,8.100000000000023
215,5531550228324592939.mp4,216,00:09:55:24,00:09:57:06,595.24,597.06,1.8199999999999363
216,5531550228324592939.mp4,217,00:09:57:07,00:09:59:09,597.07,599.09,2.019999999999982
217,5531550228324592939.mp4,218,00:09:59:10,00:10:01:01,599.1,601.01,1.9099999999999682
218,5531550228324592939.mp4,219,00:10:01:02,00:10:01:22,601.02,601.22,0.20000000000004547
219,5531550228324592939.mp4,220,00:10:01:23,00:10:03:03,601.23,603.03,1.7999999999999545
220,5531550228324592939.mp4,221,00:10:03:04,00:10:04:14,603.04,604.14,1.1000000000000227
221,5531550228324592939.mp4,222,00:10:04:15,00:10:06:03,604.15,606.03,1.8799999999999955
222,5531550228324592939.mp4,223,00:10:06:04,00:10:08:14,606.04,608.14,2.1000000000000227
223,5531550228324592939.mp4,224,00:10:08:15,00:10:17:10,608.15,617.1,8.950000000000045
224,5531550228324592939.mp4,225,00:10:17:11,00:10:18:10,617.11,618.1,0.9900000000000091
225,5531550228324592939.mp4,226,00:10:18:11,00:10:39:17,618.11,639.17,21.059999999999945
226,5531550228324592939.mp4,227,00:10:39:18,00:10:56:19,639.18,656.19,17.010000000000105
227,5531550228324592939.mp4,228,00:10:56:20,00:10:58:11,656.2,658.11,1.9099999999999682
228,5531550228324592939.mp4,229,00:10:58:12,00:10:59:18,658.12,659.18,1.0599999999999454
229,5531550228324592939.mp4,230,00:10:59:19,00:11:00:19,659.19,660.19,1.0
230,5531550228324592939.mp4,231,00:11:00:20,00:11:03:14,660.2,663.14,2.939999999999941
231,5531550228324592939.mp4,232,00:11:03:15,00:11:05:21,663.15,665.21,2.060000000000059
232,5531550228324592939.mp4,233,00:11:05:22,00:11:08:01,665.22,668.01,2.7899999999999636
233,5531550228324592939.mp4,234,00:11:08:02,00:11:09:05,668.02,669.05,1.0299999999999727
234,5531550228324592939.mp4,235,00:11:09:06,00:11:13:02,669.06,673.02,3.9600000000000364
235,5531550228324592939.mp4,236,00:11:13:03,00:11:16:07,673.03,676.07,3.0400000000000773
236,5531550228324592939.mp4,237,00:11:16:08,00:11:19:14,676.08,679.14,3.0599999999999454
237,5531550228324592939.mp4,238,00:11:19:15,00:11:28:00,679.15,688.0,8.850000000000023
238,5531550228324592939.mp4,239,00:11:28:01,00:11:29:17,688.01,689.17,1.1599999999999682
239,5531550228324592939.mp4,240,00:11:29:18,00:11:32:13,689.18,692.13,2.9500000000000455
240,5531550228324592939.mp4,241,00:11:32:14,00:12:01:23,692.14,721.23,29.090000000000032
241,5531550228324592939.mp4,242,00:12:01:24,00:12:04:18,721.24,724.18,2.939999999999941
242,5531550228324592939.mp4,243,00:12:04:19,00:12:07:13,724.19,727.13,2.939999999999941
243,5531550228324592939.mp4,244,00:12:07:14,00:12:14:05,727.14,734.05,6.909999999999968
244,5531550228324592939.mp4,245,00:12:14:06,00:12:25:03,734.06,745.03,10.970000000000027
245,5531550228324592939.mp4,246,00:12:25:04,00:12:26:19,745.04,746.19,1.150000000000091
246,5531550228324592939.mp4,247,00:12:26:20,00:12:30:16,746.2,750.16,3.9599999999999227
247,5531550228324592939.mp4,248,00:12:30:17,00:12:32:18,750.17,752.18,2.009999999999991
248,5531550228324592939.mp4,249,00:12:32:19,00:12:34:10,752.19,754.1,1.9099999999999682
249,5531550228324592939.mp4,250,00:12:34:11,00:12:38:14,754.11,758.14,4.029999999999973
250,5531550228324592939.mp4,251,00:12:38:15,00:12:41:21,758.15,761.21,3.060000000000059
251,5531550228324592939.mp4,252,00:12:41:22,00:12:42:22,761.22,762.22,1.0
252,5531550228324592939.mp4,253,00:12:42:23,00:12:45:00,762.23,765.0,2.769999999999982
253,5531550228324592939.mp4,254,00:12:45:01,00:12:47:12,765.01,767.12,2.1100000000000136
254,5531550228324592939.mp4,255,00:12:47:13,00:12:50:01,767.13,770.01,2.8799999999999955
255,5531550228324592939.mp4,256,00:12:50:02,00:12:52:06,770.02,772.06,2.0399999999999636
256,5531550228324592939.mp4,257,00:12:52:07,00:12:52:20,772.07,772.2,0.12999999999999545
257,5531550228324592939.mp4,258,00:12:52:21,00:12:53:01,772.21,773.01,0.7999999999999545
258,5531550228324592939.mp4,259,00:12:53:02,00:12:55:10,773.02,775.1,2.080000000000041
259,5531550228324592939.mp4,260,00:12:55:11,00:12:56:08,775.11,776.08,0.9700000000000273
260,5531550228324592939.mp4,261,00:12:56:09,00:12:56:24,776.09,776.24,0.14999999999997726
261,5531550228324592939.mp4,262,00:12:57:00,00:12:57:10,777.0,777.1,0.10000000000002274
262,5531550228324592939.mp4,263,00:12:57:11,00:12:59:17,777.11,779.17,2.0599999999999454
263,5531550228324592939.mp4,264,00:12:59:18,00:13:00:05,779.18,780.05,0.8700000000000045
264,5531550228324592939.mp4,265,00:13:00:06,00:13:00:18,780.06,780.18,0.12000000000000455
265,5531550228324592939.mp4,266,00:13:00:19,00:13:01:16,780.19,781.16,0.9699999999999136
266,5531550228324592939.mp4,267,00:13:01:17,00:13:07:02,781.17,787.02,5.850000000000023
267,5531550228324592939.mp4,268,00:13:07:03,00:13:08:00,787.03,788.0,0.9700000000000273
268,5531550228324592939.mp4,269,00:13:08:01,00:13:09:03,788.01,789.03,1.0199999999999818
269,5531550228324592939.mp4,270,00:13:09:04,00:13:10:22,789.04,790.22,1.1800000000000637
270,5531550228324592939.mp4,271,00:13:10:23,00:13:13:02,790.23,793.02,2.7899999999999636
271,5531550228324592939.mp4,272,00:13:13:03,00:13:13:11,793.03,793.11,0.08000000000004093
272,5531550228324592939.mp4,273,00:13:13:12,00:13:14:18,793.12,794.18,1.0599999999999454
273,5531550228324592939.mp4,274,00:13:14:19,00:13:21:07,794.19,801.07,6.8799999999999955
274,5531550228324592939.mp4,275,00:13:21:08,00:13:23:08,801.08,803.08,2.0
275,5531550228324592939.mp4,276,00:13:23:09,00:13:25:06,803.09,805.06,1.9699999999999136
276,5531550228324592939.mp4,277,00:13:25:07,00:13:36:21,805.07,816.21,11.139999999999986
277,5531550228324592939.mp4,278,00:13:36:22,00:13:38:06,816.22,818.06,1.8399999999999181
278,5531550228324592939.mp4,279,00:13:38:07,00:13:41:02,818.07,821.02,2.949999999999932
279,5531550228324592939.mp4,280,00:13:41:03,00:13:42:11,821.03,822.11,1.080000000000041
280,5531550228324592939.mp4,281,00:13:42:12,00:13:43:01,822.12,823.01,0.8899999999999864
281,5531550228324592939.mp4,282,00:13:43:02,00:13:47:07,823.02,827.07,4.050000000000068
282,5531550228324592939.mp4,283,00:13:47:08,00:13:50:14,827.08,830.14,3.0599999999999454
283,5531550228324592939.mp4,284,00:13:50:15,00:13:52:08,830.15,832.08,1.9300000000000637
284,5531550228324592939.mp4,285,00:13:52:09,00:13:53:16,832.09,833.16,1.0699999999999363
285,5531550228324592939.mp4,286,00:13:53:17,00:13:55:00,833.17,835.0,1.830000000000041
286,5531550228324592939.mp4,287,00:13:55:01,00:13:56:09,835.01,836.09,1.080000000000041
287,5531550228324592939.mp4,288,00:13:56:10,00:13:58:07,836.1,838.07,1.9700000000000273
